reviewerid,reviewno_reviewers,analoral_ct,cuddling_ct,cunninlingus_ct,ejaculationonbody_ct,fellatio_ct,intercourseanal_ct,intercoursevaginal_ct,kissing_ct,manualanalstimulation_ct,manualpenilestimulation_ct,manualvaginalstimulation_ct,massage_ct,sm_ct,testiclestimulation_ct,threesome_ct,analoral_ct_bin,cuddling_ct_bin,cunninlingus_ct_bin,ejaculationonbody_ct_bin,fellatio_ct_bin,intercourseanal_ct_bin,intercoursevaginal_ct_bin,kissing_ct_bin,manualanalstimulation_ct_bin,manualpenilestimulation_ct_bin,manualvaginalstimulation_ct_bin,massage_ct_bin,sm_ct_bin,testiclestimulation_ct_bin,threesome_ct_bin,avgspph_p50,avgspph_sd,avgspph_avg,app_reviewer_p50,app_reviewer_sd,app_reviewer_avg,perf_reviewer_p50,perf_reviewer_sd,perf_reviewer_avg,cscore_reviewer_p50,cscore_reviewer_sd,cscore_reviewer_avg,rvwdate_last_reviewer,rvwyear_last_reviewer,rvwdate_first_reviewer,rvwyear_first_reviewer,rptescorts_reviewers,rvwduration_years_reviewer,rvwduration_days_reviewer,appgap_reviewer_p50,age_cont2_p50,height_cont2_p50,breastsize_cont2_p50,breastcup_cont_p50,hairlength_cont_p50,kiss_bin_p50,kiss_tongue_bin_p50,blowjob_bin_p50,blowjob_condom_bin_p50,cuminmouth_bin_p50,touchpussy_bin_p50,lickpussy_bin_p50,sex_bin_p50,multiplepops_bin_p50,anal_bin_p50,rimming_bin_p50,sm_bin_p50,twogirlaction_bin_p50,bringsecondprovider_bin_p50,multipleguys_bin_p50,avgpph_p50,reviewno_escort_sd,appgap_reviewer_sd,age_cont2_sd,height_cont2_sd,breastsize_cont2_sd,breastcup_cont_sd,hairlength_cont_sd,kiss_bin_sd,kiss_tongue_bin_sd,blowjob_bin_sd,blowjob_condom_bin_sd,cuminmouth_bin_sd,touchpussy_bin_sd,lickpussy_bin_sd,sex_bin_sd,multiplepops_bin_sd,anal_bin_sd,rimming_bin_sd,sm_bin_sd,twogirlaction_bin_sd,bringsecondprovider_bin_sd,multipleguys_bin_sd,avgpph_sd,reviewno_escort_avg,appgap_reviewer_avg,age_cont2_avg,height_cont2_avg,breastsize_cont2_avg,breastcup_cont_avg,hairlength_cont_avg,kiss_bin_avg,kiss_tongue_bin_avg,blowjob_bin_avg,blowjob_condom_bin_avg,cuminmouth_bin_avg,touchpussy_bin_avg,lickpussy_bin_avg,sex_bin_avg,multiplepops_bin_avg,anal_bin_avg,rimming_bin_avg,sm_bin_avg,twogirlaction_bin_avg,bringsecondprovider_bin_avg,multipleguys_bin_avg,ontime_bin_avg,smokes_bin_avg,breastimplants_bin_avg,pubichair_cont_avg,transsexual_bin_avg,servicearea_bin_escort_avg,servicearea_bin_massage_avg,servicearea_bin_sm_avg,servicearea_bin_multiple_avg,pornstar_bin_avg,avgpph_avg,unqescorts_reviewers,ethnicity_n,ethnicity_mode,build_n,build_mode,breastappearance_n,breastappearance_mode,haircolor_n,haircolor_mode,hairtype_n,hairtype_mode,service_n,service_mode,reviewno_escort_max,reviewno_escort_min
4145,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,344.33334,,344.33334,8,,8,9,,9,8.5,,8.5,01mar2001,2001,01mar2001,2001,0,0,0,-1,36,63,36,4,4,1,1,1,0,0,1,1,1,1,0,,1,1,1,,344.33334,,,,,,,,,,,,,,,,,,,,,,,,86,-1,36,63,36,4,4,1,1,1,0,0,1,1,1,1,0,,1,1,1,,1,0,1,0,0,1,0,0,0,1,344.33334,1,1,White,1,Athletic,1,Super nice,1,Blonde,1,Straight,1,Escort,86,86
4154,1,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,275,,275,9,,9,9,,9,9,,9,01may2007,2007,01may2007,2007,0,0,0,0,18,63,34,2,4,1,1,1,0,0,1,1,1,1,0,,,1,1,,275,,,,,,,,,,,,,,,,,,,,,,,,23,0,18,63,34,2,4,1,1,1,0,0,1,1,1,1,0,,,1,1,,1,0,0,0,0,1,1,0,1,,275,1,1,White,1,Athletic,1,Perky,1,Brown,1,Some curls,1,Escort/Massage,23,23
4166,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,,300,9,,9,9,,9,9,,9,01oct2010,2010,01oct2010,2010,0,0,0,0,26,66,34,4,5,1,1,1,1,0,1,1,1,,0,0,0,,,,300,,,,,,,,,,,,,,,,,,,,,,,,18,0,26,66,34,4,5,1,1,1,1,0,1,1,1,,0,0,0,,,,1,1,,0,0,1,1,0,1,0,300,1,1,Latina,1,Athletic,1,Super nice,1,Brown,1,Curly,1,Escort/Massage,18,18
4200,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,150,,150,8,,8,9,,9,8.5,,8.5,01apr2006,2006,01apr2006,2006,0,0,0,-1,21,66,36,4,3,1,1,1,1,0,1,1,1,1,0,,0,1,1,0,150,,,,,,,,,,,,,,,,,,,,,,,,1,-1,21,66,36,4,3,1,1,1,1,0,1,1,1,1,0,,0,1,1,0,1,1,0,0,0,1,1,0,1,0,150,1,1,White,1,Flabby,1,Super nice,1,Red,1,Straight,1,Escort/Massage,1,1
4224,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,250,,250,8,,8,9,,9,8.5,,8.5,01oct2009,2009,01oct2009,2009,0,0,0,-1,46,66,34,4,4,1,1,1,0,1,1,1,1,1,,0,0,,1,0,250,,,,,,,,,,,,,,,,,,,,,,,,80,-1,46,66,34,4,4,1,1,1,0,1,1,1,1,1,,0,0,,1,0,1,0,0,,0,1,0,0,0,0,250,1,1,Italian,1,Thin,1,Perky,1,Brown,1,Straight,1,Escort,80,80
4232,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,150,,150,8,,8,9,,9,8.5,,8.5,01jul2004,2004,01jul2004,2004,0,0,0,-1,41,63,32,2,4,1,1,0,0,0,1,1,0,1,0,,1,1,1,0,150,,,,,,,,,,,,,,,,,,,,,,,,59,-1,41,63,32,2,4,1,1,0,0,0,1,1,0,1,0,,1,1,1,0,1,1,0,,0,0,1,0,0,0,150,1,1,White,1,Thin,1,Average,1,Blonde,1,Straight,1,Massage,59,59
4251,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,200,,200,9,,9,9,,9,9,,9,01dec2006,2006,01dec2006,2006,0,0,0,0,21,66,34,3,6,0,0,1,1,0,1,0,1,0,0,,0,1,1,,200,,,,,,,,,,,,,,,,,,,,,,,,22,0,21,66,34,3,6,0,0,1,1,0,1,0,1,0,0,,0,1,1,,0,1,0,,0,1,0,0,0,0,200,1,1,African american,1,Thin,1,Super nice,1,Black,1,Some curls,1,Escort,22,22
4270,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,175,,175,7,,7,9,,9,8,,8,01jul2005,2005,01jul2005,2005,0,0,0,-2,26,60,40,4,2,1,1,1,0,0,1,1,1,1,1,,0,1,1,0,175,,,,,,,,,,,,,,,,,,,,,,,,1,-2,26,60,40,4,2,1,1,1,0,0,1,1,1,1,1,,0,1,1,0,1,1,0,,0,1,0,1,1,0,175,1,1,White,1,Heavy,1,Super nice,1,Red,1,Straight,1,Escort/Massage/S&M,1,1
4320,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,177.66667,,177.66667,7,,7,9,,9,8,,8,01apr2005,2005,01apr2005,2005,0,0,0,-2,31,66,36,3,6,0,0,0,0,0,0,0,0,1,1,,1,1,1,1,177.66667,,,,,,,,,,,,,,,,,,,,,,,,11,-2,31,66,36,3,6,0,0,0,0,0,0,0,0,1,1,,1,1,1,1,1,0,0,,0,0,1,1,1,0,177.66667,1,1,White,1,Athletic,1,Average,1,Black,1,Straight,1,Massage/S&M,11,11
4337,1,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,233,,233,8,,8,9,,9,8.5,,8.5,01apr2005,2005,01apr2005,2005,0,0,0,-1,31,60,34,3,6,1,1,1,0,0,1,1,1,1,1,,1,1,1,1,233,,,,,,,,,,,,,,,,,,,,,,,,23,-1,31,60,34,3,6,1,1,1,0,0,1,1,1,1,1,,1,1,1,1,1,0,0,,0,1,0,1,1,0,233,1,1,Latina,1,Average,1,Youthful,1,Brown,1,Some curls,1,Escort/Massage/S&M,23,23
4375,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,200,,200,7,,7,9,,9,8,,8,01dec2005,2005,01dec2005,2005,0,0,0,-2,41,63,44,6,5,1,1,1,0,1,1,,1,1,1,,0,,,,200,,,,,,,,,,,,,,,,,,,,,,,,3,-2,41,63,44,6,5,1,1,1,0,1,1,,1,1,1,,0,,,,1,0,0,,0,1,1,0,1,0,200,1,1,White,1,Heavy,1,Droopy,1,Brown,1,Some curls,1,Escort/Massage,3,3
4445,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01sep2004,2004,01sep2004,2004,0,0,0,-1,31,66,38,7,4,1,0,1,0,,1,,1,1,0,,,1,1,,300,,,,,,,,,,,,,,,,,,,,,,,,1,-1,31,66,38,7,4,1,0,1,0,,1,,1,1,0,,,1,1,,1,0,0,0,0,1,0,0,0,0,300,1,1,White,1,Average,1,Super nice,1,Blonde,1,Straight,1,Escort,1,1
7568,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,200,,200,8,,8,9,,9,8.5,,8.5,01jun2005,2005,01jun2005,2005,0,0,0,-1,26,63,32,2,6,1,1,1,0,,1,1,1,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,13,-1,26,63,32,2,6,1,1,1,0,,1,1,1,,,,,,,,1,1,0,,0,1,0,1,1,0,200,1,1,Latina,1,Thin,1,Average,1,Bleached,1,Straight,1,Escort/S&M,13,13
7569,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,350,,350,9,,9,9,,9,9,,9,01apr2001,2001,01apr2001,2001,0,0,0,0,36,66,36,3,5,1,1,1,0,0,1,1,1,1,0,1,0,1,1,,350,,,,,,,,,,,,,,,,,,,,,,,,218,0,36,66,36,3,5,1,1,1,0,0,1,1,1,1,0,1,0,1,1,,1,0,1,,0,1,1,0,1,0,350,1,1,White,1,Athletic,1,Perky,1,Brown,1,Straight,1,Escort/Massage,218,218
7618,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,220,,220,7,,7,9,,9,8,,8,01mar2005,2005,01mar2005,2005,0,0,0,-2,26,66,36,2,3,1,1,1,0,0,0,0,0,1,0,,0,0,1,0,220,,,,,,,,,,,,,,,,,,,,,,,,34,-2,26,66,36,2,3,1,1,1,0,0,0,0,0,1,0,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,220,1,1,White,1,Baby fat,1,Average,1,Black,1,Straight,1,Massage,34,34
7636,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,233.33333,,233.33333,7,,7,9,,9,8,,8,01aug2009,2009,01aug2009,2009,0,0,0,-2,31,66,34,1,4,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,233.33333,,,,,,,,,,,,,,,,,,,,,,,,17,-2,31,66,34,1,4,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,233.33333,1,1,White,1,Skinny,1,Droopy,1,Brown,1,Some curls,1,Escort,17,17
7661,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,300,,300,9,,9,9,,9,9,,9,01mar2002,2002,01mar2002,2002,0,0,0,0,21,63,34,5,4,1,1,1,0,0,1,1,1,1,0,,0,1,1,0,300,,,,,,,,,,,,,,,,,,,,,,,,23,0,21,63,34,5,4,1,1,1,0,0,1,1,1,1,0,,0,1,1,0,1,0,1,,0,1,1,0,1,0,300,1,1,White,1,Athletic,1,Rock hard,1,Red,1,Some curls,1,Escort/Massage,23,23
7688,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,225,,225,8,,8,9,,9,8.5,,8.5,01aug2001,2001,01aug2001,2001,0,0,0,-1,31,57,34,3,7,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,225,,,,,,,,,,,,,,,,,,,,,,,,175,-1,31,57,34,3,7,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,225,1,1,Asian,1,Thin,1,Super nice,1,Black,1,Straight,1,Escort/Massage,175,175
7834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,,200,8,,8,9,,9,8.5,,8.5,01nov2003,2003,01nov2003,2003,0,0,0,-1,26,63,34,3,4,1,1,1,0,1,1,1,1,0,0,,0,,,,200,,,,,,,,,,,,,,,,,,,,,,,,28,-1,26,63,34,3,4,1,1,1,0,1,1,1,1,0,0,,0,,,,0,0,0,,0,1,0,0,0,0,200,1,1,White,1,Baby fat,1,Droopy,1,Blonde,1,Straight,1,Escort,28,28
7852,1,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,275,,275,8,,8,9,,9,8.5,,8.5,01feb2008,2008,01feb2008,2008,0,0,0,-1,36,69,36,4,5,1,1,1,0,1,1,1,1,1,0,,0,,,,275,,,,,,,,,,,,,,,,,,,,,,,,114,-1,36,69,36,4,5,1,1,1,0,1,1,1,1,1,0,,0,,,,1,1,1,0,0,1,1,0,1,0,275,1,1,White,1,Thin,1,Super nice,1,Blonde,1,Straight,1,Escort/Massage,114,114
7911,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,,100,8,,8,9,,9,8.5,,8.5,01may2007,2007,01may2007,2007,0,0,0,-1,21,66,29,1,5,1,0,,,,,,1,,1,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,2,-1,21,66,29,1,5,1,0,,,,,,1,,1,,,,,,1,0,0,,1,1,1,0,1,0,100,1,1,Italian,1,Baby fat,1,Average,1,Black,1,Other,1,Escort/Massage,2,2
7942,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01oct2006,2006,01oct2006,2006,0,0,0,-1,31,69,42,4,3,1,1,1,0,,1,1,1,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,3,-1,31,69,42,4,3,1,1,1,0,,1,1,1,,,,,,,,1,0,0,0,0,1,1,0,1,,300,1,1,White,1,Other,1,Average,1,Brown,1,Straight,1,Escort/Massage,3,3
7947,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,150,,150,9,,9,9,,9,9,,9,01aug2006,2006,01aug2006,2006,0,0,0,0,18,63,32,1,6,0,0,1,1,0,1,,1,0,1,,0,,,0,150,,,,,,,,,,,,,,,,,,,,,,,,3,0,18,63,32,1,6,0,0,1,1,0,1,,1,0,1,,0,,,0,1,0,0,0,1,1,1,0,1,,150,1,1,Latina,1,Skinny,1,Youthful,1,Black,1,Straight,1,Escort/Massage,3,3
7957,1,0,0,1,0,0,0,0,3,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,250,,250,8,,8,9,,9,8.5,,8.5,01aug2006,2006,01aug2006,2006,0,0,0,-1,21,66,36,3,5,1,1,1,0,1,1,1,1,1,,,,1,1,,250,,,,,,,,,,,,,,,,,,,,,,,,19,-1,21,66,36,3,5,1,1,1,0,1,1,1,1,1,,,,1,1,,1,0,0,0,0,1,0,1,1,0,250,1,1,White,1,Athletic,1,Super nice,1,Brown,1,Straight,1,Escort/Massage/S&M,19,19
7976,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,250,,250,8,,8,9,,9,8.5,,8.5,01aug2010,2010,01aug2010,2010,0,0,0,-1,26,63,32,3,4,1,1,1,0,1,1,1,1,1,,1,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,11,-1,26,63,32,3,4,1,1,1,0,1,1,1,1,1,,1,,,,,1,0,0,,0,1,1,0,1,0,250,1,1,Asian,1,Thin,1,Super nice,1,Brown,1,Some curls,1,Escort/Massage,11,11
8024,1,0,0,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,300,,300,7,,7,9,,9,8,,8,01jul2006,2006,01jul2006,2006,0,0,0,-2,36,66,36,3,5,1,1,1,0,1,1,1,1,1,0,,1,1,1,0,300,,,,,,,,,,,,,,,,,,,,,,,,57,-2,36,66,36,3,5,1,1,1,0,1,1,1,1,1,0,,1,1,1,0,1,0,0,0,0,1,1,0,1,0,300,1,1,White,1,Athletic,1,Perky,1,Red,1,Curly,1,Escort/Massage,57,57
8103,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01dec2002,2002,01dec2002,2002,0,0,0,-1,18,66,34,2,5,1,1,1,0,0,1,1,1,,,,,,1,0,300,,,,,,,,,,,,,,,,,,,,,,,,19,-1,18,66,34,2,5,1,1,1,0,0,1,1,1,,,,,,1,0,1,0,0,0,0,1,1,0,1,0,300,1,1,French,1,Athletic,1,Perky,1,Brown,1,Straight,1,Escort/Massage,19,19
8142,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,275,,275,9,,9,9,,9,9,,9,01oct2004,2004,01oct2004,2004,0,0,0,0,18,63,34,3,6,1,0,,,0,1,1,1,1,,,1,1,1,,275,,,,,,,,,,,,,,,,,,,,,,,,1,0,18,63,34,3,6,1,0,,,0,1,1,1,1,,,1,1,1,,1,0,0,0,0,1,0,1,1,0,275,1,1,Latina,1,Thin,1,Super nice,1,Brown,1,Straight,1,Escort/Massage/S&M,1,1
8164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.5,,222.5,9,,9,9,,9,9,,9,01feb2007,2007,01feb2007,2007,0,0,0,0,31,66,32,2,5,1,1,1,0,0,1,1,1,1,,,0,,,,222.5,,,,,,,,,,,,,,,,,,,,,,,,48,0,31,66,32,2,5,1,1,1,0,0,1,1,1,1,,,0,,,,1,0,0,0,0,1,0,0,0,0,222.5,1,1,White,1,Athletic,1,Perky,1,Brown,1,Straight,1,Escort,48,48
8202,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,237.5,,237.5,8,,8,9,,9,8.5,,8.5,01oct2001,2001,01oct2001,2001,0,0,0,-1,36,63,42,4,4,1,1,1,0,0,1,1,1,1,0,,0,1,1,1,187.2,,,,,,,,,,,,,,,,,,,,,,,,5,-1,36,63,42,4,4,1,1,1,0,0,1,1,1,1,0,,0,1,1,1,1,1,0,,0,1,0,1,1,0,187.2,1,1,White,1,Other,1,Perky,1,Other,1,Some curls,1,Escort/Massage/S&M,5,5
8260,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,400,,400,9,,9,9,,9,9,,9,01nov2008,2008,01nov2008,2008,0,0,0,0,26,66,36,2,5,1,1,1,0,,1,1,1,,0,,0,1,1,0,400,,,,,,,,,,,,,,,,,,,,,,,,58,0,26,66,36,2,5,1,1,1,0,,1,1,1,,0,,0,1,1,0,1,0,0,0,0,1,0,0,0,0,400,1,1,White,1,Athletic,1,Perky,1,Red,1,Straight,1,Escort,58,58
8277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,,200,8,,8,9,,9,8.5,,8.5,01nov2004,2004,01nov2004,2004,0,0,0,-1,18,63,38,5,5,1,1,1,0,1,1,1,1,1,0,,1,,,,200,,,,,,,,,,,,,,,,,,,,,,,,23,-1,18,63,38,5,5,1,1,1,0,1,1,1,1,1,0,,1,,,,1,1,0,0,0,1,0,1,1,0,200,1,1,White,1,Baby fat,1,Droopy,1,Brown,1,Curly,1,Escort/Massage/S&M,23,23
8300,1,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,165,,165,8,,8,9,,9,8.5,,8.5,01dec2005,2005,01dec2005,2005,0,0,0,-1,21,63,32,1,6,1,1,1,0,0,1,1,1,1,,,0,1,1,0,165,,,,,,,,,,,,,,,,,,,,,,,,5,-1,21,63,32,1,6,1,1,1,0,0,1,1,1,1,,,0,1,1,0,1,0,0,0,0,1,1,0,1,0,165,1,1,White,1,Thin,1,Average,1,Brown,1,Some curls,1,Escort/Massage,5,5
8346,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,270,,270,9,,9,9,,9,9,,9,01may2004,2004,01may2004,2004,0,0,0,0,31,63,34,3,6,1,1,1,0,1,1,1,1,1,0,,,0,0,0,270,,,,,,,,,,,,,,,,,,,,,,,,46,0,31,63,34,3,6,1,1,1,0,1,1,1,1,1,0,,,0,0,0,1,0,0,,0,1,0,1,1,0,270,1,1,White,1,Athletic,1,Average,1,Brown,1,Some curls,1,Escort/Massage/S&M,46,46
8370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,,275,7,,7,9,,9,8,,8,01feb2003,2003,01feb2003,2003,0,0,0,-2,41,69,38,2,3,1,1,1,0,1,1,1,1,1,0,,1,,,,275,,,,,,,,,,,,,,,,,,,,,,,,206,-2,41,69,38,2,3,1,1,1,0,1,1,1,1,1,0,,1,,,,1,0,0,2,0,1,1,0,1,0,275,1,1,White,1,Athletic,1,Perky,1,Red,1,Curly,1,Escort/Massage,206,206
8458,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,,300,7,,7,9,,9,8,,8,01mar2011,2011,01mar2011,2011,0,0,0,-2,26,66,38,5,5,1,1,1,0,0,1,1,1,1,1,1,0,1,1,,300,,,,,,,,,,,,,,,,,,,,,,,,15,-2,26,66,38,5,5,1,1,1,0,0,1,1,1,1,1,1,0,1,1,,1,1,0,0,0,1,1,0,1,,300,1,1,White,1,Average,1,Super nice,1,Brown,1,Straight,1,Escort/Massage,15,15
8494,1,0,0,1,0,0,0,0,0,2,1,0,4,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,200,,200,8,,8,9,,9,8.5,,8.5,01jul2005,2005,01jul2005,2005,0,0,0,-1,36,63,36,3,4,1,1,1,0,1,1,1,1,1,0,,,1,1,0,200,,,,,,,,,,,,,,,,,,,,,,,,31,-1,36,63,36,3,4,1,1,1,0,1,1,1,1,1,0,,,1,1,0,1,0,0,,0,1,1,0,1,0,200,1,1,White,1,Average,1,Super nice,1,Blonde,1,Straight,1,Escort/Massage,31,31
8496,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01apr2002,2002,01apr2002,2002,0,0,0,-1,26,63,38,4,4,1,1,1,0,0,1,1,1,1,0,,,1,,,300,,,,,,,,,,,,,,,,,,,,,,,,28,-1,26,63,38,4,4,1,1,1,0,0,1,1,1,1,0,,,1,,,1,0,0,,0,1,1,0,1,0,300,1,1,African american,1,Athletic,1,Super nice,1,Black,1,Straight,1,Escort/Massage,28,28
8538,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,,100,7,,7,9,,9,8,,8,01may2004,2004,01may2004,2004,0,0,0,-2,36,60,36,4,4,1,0,0,0,0,1,,,,,,1,1,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,4,-2,36,60,36,4,4,1,0,0,0,0,1,,,,,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,100,1,1,White,1,Average,1,Perky,1,Black,1,Curly,1,S&M,4,4
8552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,,225,8,,8,9,,9,8.5,,8.5,01jun2002,2002,01jun2002,2002,0,0,0,-1,31,57,34,3,7,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,225,,,,,,,,,,,,,,,,,,,,,,,,175,-1,31,57,34,3,7,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,225,1,1,Asian,1,Thin,1,Super nice,1,Black,1,Straight,1,Escort/Massage,175,175
8632,1,0,0,2,0,0,0,0,3,0,2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,200,,200,7,,7,9,,9,8,,8,01jan2003,2003,01jan2003,2003,0,0,0,-2,26,63,40,4,7,1,1,1,0,,1,1,1,1,,,1,1,1,,200,,,,,,,,,,,,,,,,,,,,,,,,5,-2,26,63,40,4,7,1,1,1,0,,1,1,1,1,,,1,1,1,,1,0,0,0,0,1,0,1,1,0,200,1,1,White,1,Other,1,Super nice,1,Brown,1,Other,1,Escort/Massage/S&M,5,5
8652,1,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01nov2008,2008,01nov2008,2008,0,0,0,-1,21,63,36,4,4,0,0,1,1,,1,,1,,,,,,1,,300,,,,,,,,,,,,,,,,,,,,,,,,15,-1,21,63,36,4,4,0,0,1,1,,1,,1,,,,,,1,,1,0,0,0,0,1,1,0,1,0,300,1,1,White,1,Thin,1,Super nice,1,Blonde,1,Straight,1,Escort/Massage,15,15
8675,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,300,,300,8,,8,9,,9,8.5,,8.5,01dec2008,2008,01dec2008,2008,0,0,0,-1,18,66,34,3,4,1,1,1,0,1,1,1,1,1,0,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,40,-1,18,66,34,3,4,1,1,1,0,1,1,1,1,1,0,,,,,,1,0,,0,0,1,1,0,1,0,300,1,1,African american,1,Athletic,1,Youthful,1,Black,1,Straight,1,Escort/Massage,40,40
